Codigo;Produto ;Tipo;Arg1;Arg2;Arg3;DataInicio;DataFinal;Setor
277644;Manta Fleece Mgico Azul 70cmx90cm;FIDELIDADE;22.99;18.39;;13/08/2026;09/09/2026;Cama
277642;Manta Fleece Mgico Rosa 70cmx90cm;FIDELIDADE;22.99;18.39;;13/08/2026;09/09/2026;Cama
277643;Manta Fleece Mgico Preto 70cmx90cm;FIDELIDADE;22.99;18.39;;13/08/2026;09/09/2026;Cama 
277641;Manta Fleece Mgico Vermelho 70cmx90cm;FIDELIDADE;22.99;18.39;;13/08/2026;09/09/2026;Cama 
279859;Cinto Segurana Preto G;FIDELIDADE;37.99;30.39;;13/08/2026;09/09/2026;Coleiras
279865;Cinto Segurana Azul G;FIDELIDADE;37.99;30.39;;13/08/2026;09/09/2026;Coleiras
279863;Cinto Segurana Azul P;FIDELIDADE;27.89;22.31;;13/08/2026;09/09/2026;Coleiras
279866;Cinto Segurana Rosa P;FIDELIDADE;27.89;22.31;;13/08/2026;09/09/2026;Coleiras
279868;Cinto Segurana Rosa G;FIDELIDADE;37.99;30.39;;13/08/2026;09/09/2026;Coleiras
279860;Cinto Segurana Vermelho P;FIDELIDADE;27.89;22.31;;13/08/2026;09/09/2026;Coleiras
279864;Cinto Segurana Azul M;FIDELIDADE;36.39;29.11;;13/08/2026;09/09/2026;Coleiras
279867;Cinto Segurana Rosa M;FIDELIDADE;36.39;29.11;;13/08/2026;09/09/2026;Coleiras
279862;Cinto Segurana Vermelho G;FIDELIDADE;37.99;30.39;;13/08/2026;09/09/2026;Coleiras
279858;Cinto Segurana Preto M;FIDELIDADE;36.39;29.11;;13/08/2026;09/09/2026;Coleiras
279857;Cinto Segurana Preto P;FIDELIDADE;27.89;22.31;;13/08/2026;09/09/2026;Coleiras
279861;Cinto Segurana Vermelho M;FIDELIDADE;36.39;29.11;;13/08/2026;09/09/2026;Coleiras
277588;Coleira Premium Cat Free Spirit P;FIDELIDADE;18.59;14.87;;13/08/2026;09/09/2026;Coleiras
303204;Coleira Premium Vibe P;FIDELIDADE;29.99;23.99;;13/08/2026;09/09/2026;Coleiras
303347;Coleira Bombom N.0;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303329;Coleira Triangulo N.4;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303205;Coleira Premium Vibe M;FIDELIDADE;33.99;27.19;;13/08/2026;09/09/2026;Coleiras
276744;Coleira Premium Classic Azul - P;FIDELIDADE;29.89;23.91;;13/08/2026;09/09/2026;Coleiras
279795;Coleira .30 Preto N.6 ;FIDELIDADE;20.39;16.31;;13/08/2026;09/09/2026;Coleiras
303332;Coleira Cactus N.4;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303334;Coleira Donuts Amarelo N.2;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303337;Coleira Xadrez Chic N.2;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303327;Coleira Triangulo N.0;FIDELIDADE;11.99;9.59;;13/08/2026;09/09/2026;Coleiras
303202;Coleira Premium Terracota M;FIDELIDADE;33.99;27.19;;13/08/2026;09/09/2026;Coleiras
279806;Coleira .40 Preto N.8 ;FIDELIDADE;25.59;20.47;;13/08/2026;09/09/2026;Coleiras
303201;Coleira Premium Terracota P;FIDELIDADE;29.99;23.99;;13/08/2026;09/09/2026;Coleiras
279809;Coleira .40 Vermelho N.8 ;FIDELIDADE;25.59;20.47;;13/08/2026;09/09/2026;Coleiras
303207;Coleira Premium Aurora P;FIDELIDADE;29.99;23.99;;13/08/2026;09/09/2026;Coleiras
276743;Coleira Premium Classic Azul - M;FIDELIDADE;33.89;27.11;;13/08/2026;09/09/2026;Coleiras
279796;Coleira .30 Preto N.7 ;FIDELIDADE;21.29;17.03;;13/08/2026;09/09/2026;Coleiras
